Title,Company,Location,Link,Country,Source,Title_Clean,Job_Category
Artificial Intelligence Engineer (NLP),"DIRAC SYSTEMS - Heliopolis, Cairo, Egypt 21 days ago","Heliopolis, Cairo, Egypt",https://wuzzuf.net/internship/z3Gza8M97sRJ-Artificial-Intelligence-Engineer-NLP-DIRAC-SYSTEMS-Cairo-Egypt,Egypt,Wuzzuf,artificial intelligence engineer (nlp),AI Engineer
Senior AI Engineer,"Lumin - Sheikh Zayed, Giza, Egypt 2 days ago","Sheikh Zayed, Giza, Egypt",https://wuzzuf.net/jobs/p/jQuD5uCDAOds-Senior-AI-Engineer-Lumin-Giza-Egypt,Middle East,Wuzzuf,senior ai engineer,AI Engineer
Senior AI Vision Engineer – Computer Vision & Edge Deployment,"Skarpt Company  - 6th of October, Giza, Egypt 18 days ago","6th of October, Giza, Egypt",https://wuzzuf.net/jobs/p/o7GZBxQzGrAB-Senior-AI-Vision-Engineer-–-Computer-Vision-Edge-Deployment-Skarpt-Company-Giza-Egypt,Middle East,Wuzzuf,senior ai vision engineer – computer vision & edge deployment,Computer Vision Engineer
AI Trainer.,"Avanguard - New Cairo, Cairo, Egypt 19 days ago","New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/p/cyKxYLTtPjPa-AI-Trainer-Avanguard-Cairo-Egypt,Egypt,Wuzzuf,ai trainer.,Other AI/ML Role
AI Agent Developer,"Confidential - Heliopolis, Cairo, Egypt 21 days ago","Heliopolis, Cairo, Egypt",https://wuzzuf.net/jobs/p/TQgoUs39mfEx-AI-Agent-Developer-Cairo-Egypt,Egypt,Wuzzuf,ai agent developer,Other AI/ML Role
AI Prompt and Business Integrator - Full Time Remotely,"Confidential - Sidi Bishr, Alexandria, Egypt 1 month ago","Sidi Bishr, Alexandria, Egypt",https://wuzzuf.net/jobs/p/vj7GkAqulqu5-AI-Prompt-and-Business-Integrator---Full-Time-Remotely-Alexandria-Egypt,Middle East,Wuzzuf,ai prompt and business integrator - full time remotely,Other AI/ML Role
"Artificial Intelligence Engineer, IgniteTech (Remote) - $100,000/year USD","Trilogy - Dubai, United Arab Emirates 8 hours ago","Dubai, United Arab Emirates",https://wuzzuf.net/jobs/p/g/jdvewrdwhogn-artificial-intelligence-engineer-ignitetech-remote---100000year-usd-trilogy-dubai-united-arab-emirates,United Arab Emirates,Wuzzuf,"artificial intelligence engineer, ignitetech (remote) - $100,000/year usd",AI Engineer
"Full-Stack AI Tool Developer (React, Next.js, PostgreSQL, AWS Lambda)","Confidential - New Cairo, Cairo, Egypt 1 month ago","New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/p/SOdCYd7kmpc4-Full-Stack-AI-Tool-Developer-React-Nextjs-PostgreSQL-AWS-Lambda-Cairo-Egypt,Egypt,Wuzzuf,"full-stack ai tool developer (react, next.js, postgresql, aws lambda)",Other AI/ML Role
Research Scientist (AI) - Interactome,"GenBio AI - Dubai, United Arab Emirates 4 days ago","Dubai, United Arab Emirates",https://wuzzuf.net/jobs/p/g/erptsjic5i49-research-scientist-ai---interactome-genbio-ai-dubai-united-arab-emirates,United Arab Emirates,Wuzzuf,research scientist (ai) - interactome,Research Scientist
Senior AI Engineer,"Lumin - Sheikh Zayed, Giza, Egypt 2 days ago","Sheikh Zayed, Giza, Egypt",https://wuzzuf.net/jobs/p/jQuD5uCDAOds-Senior-AI-Engineer-Lumin-Giza-Egypt,Middle East,Wuzzuf,senior ai engineer,AI Engineer
